round  loss            accuracy        
1      0.4081          0.8885          
2      0.3019          0.9096          
3      0.2541          0.9264          
4      0.2263          0.9358          
5      0.2053          0.9413          
6      0.1898          0.9463          
7      0.1751          0.9489          
8      0.1656          0.9527          
9      0.1565          0.9553          
10     0.1486          0.9581          
11     0.1400          0.9598          
12     0.1335          0.9619          
13     0.1270          0.9616          
14     0.1220          0.9657          
15     0.1178          0.9657          
